Chapter,Kind,Question,Answer
"בראשית ל""א, נ""ה‏",טריוויה רגילות,מטרת הברית בין יעקב ללבן הייתה?,מנשק לבניו ולבנותיו.
"'בראשית ל""ב, ג‏",טריוויה רגילות,לכבוד המאורע הזה של כריתת הברית?,ארצה שעיר.
"בראשית ל""ב, ד'‏",טריוויה רגילות,לפני שלבן נפרד מ   יעקב הוא?,אדוני.
"בראשית ל מ""ג‏",טריוויה רגילות,שדה אדום  הוא שם נוסף ל?,גמלים מניקות.
בראשית לב ט‏,טריוויה רגילות,יעקב מחלק את אנשיו ורכושו ל?,"במקרה ועשו יכה את המחנה האחד אז‏
המחנה השני ינצל."
בראשית לב יא‏,טריוויה רגילות,הסיבה לחלוקה זו היא?,הצלחתו הגדולה של יעקב בעזרת ה'..
בראשית לב יב‏,טריוויה רגילות,בהקשר למה נאמר הכתוב כי במקלי עברתי את הירדן הזה?,פחד יעקב מעשו.
בראשית לב טו‏,טריוויה רגילות,הכתוב אם על בנים נאמר בהקשר ל?,"סוסים,חמורים ופרדות."
בראשית לב יז‏,טריוויה רגילות,רשימת בעלי החיים הבאה קשורה למנחה שיעקב מביא לעשוהיוצא מהכלל הוא?,רוח.
בראשית לב כ‏,טריוויה רגילות,יעקב מצווה את עבדיו לשים בין עדר ובין עדר?,פקודת יעקב למלאכים ששלח עשו.
בראשית לב כג‏,טריוויה רגילות,הכתוב גם את השני גם את השלישי גם את כל ההולכיםנאמר בהקשר ל  א פקודת?,יבוק.
בראשית לב כה‏,טריוויה רגילות,יעקב העביר את נשיו ואת ילדיו את מעבר?,עלות השחר.
בראשית לב לג‏,טריוויה רגילות,יעקב נאבק עם האיש עד?,אבקו של יעקב עם האיש.
בראשית לב לג‏,טריוויה רגילות,הסיבה לצליעת יעקב על ירכו היא?,מאבק יעקב עם האיש.
בראשית לג כ‏,טריוויה רגילות,איסור אכילת גיד הנשה בבהמות קשור ל?,"השפחות וילדיהן ראשונה,לאה‏
וילדיה,רחל ויוסף אחרונים."
בראשית לד ז‏,טריוויה רגילות,הילדים רכים והצאן והבקר עלות עליאמר יעקב לעשו בהקשר ל?,"עינוי דינה אחותם על ידי שכם בן‏
חמור.."
בראשית לד יב‏,טריוויה רגילות,הכתוב מספר שבני יעקב התעצבו אל לבםהסיבה לכך הייתה?,מוהר ומתן.
בראשית לד כב‏,טריוויה רגילות,כדי לשאת את דינה מוכן שכם לתת הרבה?,כל יושבי שכם ימולו את ערלתם.
בראשית לד כה‏,טריוויה רגילות,בני יעקב מסכימים לתת את דינה לשכם בתנאי?,שמעון ולוי.
בראשית לד כה‏,טריוויה רגילות,לאילו מבני יעקב מתכוון הכתוב באמרו אחי דינה?,ביום השלישי למילתם.
בראשית לד כח‏,טריוויה רגילות,שנים אחים אלו מכים את כל הזכרים יושבי שכם?,"כספם ,זהבם ושמלותיהם."
בראשית לה א‏,טריוויה רגילות,הפרטים הבאים נלקחו עי בני יעקב משלל העיר שכםהיוצאים מהכלל הם  א כספם?,בית אל.
בראשית לה ה‏,טריוויה רגילות,לאחר הנקמה ביושבי שכם עובר יעקב לגור ב?,היה עליהם חתת אלקים.
בראשית לה יט‏,טריוויה רגילות,יושבי ערי כנען לא רדפו אחרי בני ישראל כיון ש?,בית לחם..
בראשית לה כח‏,טריוויה רגילות,רחל נקברה בדרך אפרתה  היא?,שנים 180.
בראשית לה כט‏,טריוויה רגילות,מספר שנות חיי יצחק?,"ויגוע ...וימת ויאסף אל עמיו זקן ושבע‏
ימים."
בראשית לו יב‏,טריוויה רגילות,על יצחק נאמר?,אחד מבני עשו.
בראשית לז ב‏,טריוויה רגילות,עמלק הוא שמו של?,שבע עשרה שנה.
בראשית לז ג‏,טריוויה רגילות,יוסף היה רועה את אחיו בצאן בהיותו בן?,בן זקונים הוא.
בראשית לז ג‏,טריוויה רגילות,ישראל אהב את יוסף מכל בניו כי?,כתונת פסים.
בראשית לז ז‏,טריוויה רגילות,ישראל עשה ליוסף?,שבע שבלים טובות וגפן פורחת.
בראשית לז י‏,טריוויה רגילות,הפרטים הבאים קשורים לחלומות יוסף היוצא מהכלל הוא?,גער בו על כך.
בראשית לז ט‏,טריוויה רגילות,כששמע יעקב את חלומות יוסף?,הוסיפו עוד שנוא אותו.
בראשית לז יד‏,טריוויה רגילות,תגובת אחיו כששמעו את חלומותיו הייתה?,עמק חברון.
בראשית לז יג‏,טריוויה רגילות,יעקב שלח את יוסף לראות את שלום אחיו מ?,שכם.
בראשית לז יז‏,טריוויה רגילות,האיש מצא את יוסף כשהוא תועה ב?,דותן.
בראשית לז יט‏,טריוויה רגילות,האיש אמר ליוסף שאחיו נמצאים ב?,בעל החלומות.
בראשית לז כ‏,טריוויה רגילות,כאשר האחים ראו את יוסף מרחוק הם כנו אותו?,אחד הבורות.
בראשית לז כ‏,טריוויה רגילות,אחיו תכננו תחלה להרוג אותו ולהשליך אותו ב?,חיה רעה אכלתהו.
בראשית לז כב‏,טריוויה רגילות,לאב החליטו לספר כי?,ראובן.
בראשית לז כג‏,טריוויה רגילות,האח שהציל את יוסף ממות והציע להשליך אותו חי אל הבור היה?,כתונת הפסים.
בראשית לז כד‏,טריוויה רגילות,לפני שהשליכו האחים את יוסף אל הבור הם הפשיטו אותו את?,"רק,אין בו מים.."
בראשית לז כח‏,טריוויה רגילות,הכתוב מתאר את הבור שיוסף הושלך לתוכו שהיה?,ישמעאלים.
בראשית לז כז‏,טריוויה רגילות,האחים העלו את יוסף מהבור ומכרו אותו ל?,יהודה.
בראשית לז כח‏,טריוויה רגילות,האח שהציע למכור את יוסף היה?,עשרים כסף.
בראשית לז כט‏,טריוויה רגילות,הסכום הכספי שהאחים קבלו עבור מכירת יוסף היה?,ראובן.
בראשית לז כט‏,טריוויה רגילות,האח שלא היה נמצא במקום כאשר מכרו את יוסף היה?,קרע את בגדיו.
בראשית לז לא‏,טריוויה רגילות,תגובתו של האח הנל כאשר ראה שיוסף איננו בבור הייתה?,שעיר עזים.
בראשית לז לד‏,טריוויה רגילות,את הכתונת שהאחים הביאו אל אביהם טבלו בדם של?,גלח שערותיו..
בראשית לז לה‏,טריוויה רגילות,הפרטים הבאים קשורים לאבלו של יעקב במשך ימים רבים על יוסףהיוצא מהכלל הוא?,מאן להתנחם..
בראשית לח א‏,טריוויה רגילות,כאשר כל בניו וכל בנותיו קמו לנחמו תגובתו הייתה?,יש עדולמי ושמו חירה.
בראשית לח ב‏,טריוויה רגילות,לאחר מכירת יוסף עזב יהודה את אחיו והלך ל?,בת איש כנעני.
בראשית לח ה‏,טריוויה רגילות,יהודה נשא לאשה את?,כזיב.
בראשית לח ז‏,טריוויה רגילות,כאשר אשת יהודה ילדה את הבן השלישי הוא היה ב?,שלה.
בראשית לח י‏,טריוויה רגילות,שמות בניו של יהודה מובאים להלןהאחד שלא עשה הרע בעיני ה היה?,תמנתה.
בראשית לח יד‏,טריוויה רגילות,שם המקום שיהודה הלך לגזוז את צאנו היה?,לבשה בגדים יפים.
בראשית לח יד‏,טריוויה רגילות,הפרטים הבאים קשורים למעשה תמר ויהודההיוצא מהכלל  הוא?,בפתח עינים.
בראשית לח יז‏,טריוויה רגילות,תמר ישבה על דרך תמנתה ב?,גדי עזים.
בראשית לח כא‏,טריוויה רגילות,הפרטים הבאים קשורים לערבון שנתן יהודה לתמר  היוצא מהכלל הוא?,הקדשה.
בראשית לח כד‏,טריוויה רגילות,המלה החסרה בכתוב איה ה---------- היא בעיניים על הדרך היא?,כמשלש חודשים.
בראשית לח כד‏,טריוויה רגילות,ליהודה נודע שתמר הרה לאחר?,שריפה.
בראשית לח כו‏,טריוויה רגילות,העונש שהחליט יהודה להעניש את תמר הוא?,צדקה ממני.
בראשית לח כז‏,טריוויה רגילות,תגובת יהודה לאחר שתמר שלחה לו את הערבון הייתה?,תאומים.
בראשית לח כח‏,טריוויה רגילות,תמר ילדה?,שני.
בראשית לט א‏,טריוויה רגילות,המילדת קשרה על ידו של הבן שנולד ראשון?,פוטיפר שר הטבחים.
בראשית לט ב‏,טריוויה רגילות,שם האיש שקנה את יוסף מידי הישמעאלים היה?,איש מצליח.
בראשית לט ד‏,טריוויה רגילות,הכתוב מספר על יוסף שהיה?,הפקיד אותו על ביתו ועל כל אשר לו.
בראשית לט ו‏,טריוויה רגילות,יוסף מצא חן בעיני אדוניו ולכן הוא?,יפה תואר ויפה מראה.
בראשית לט ז‏,טריוויה רגילות,הכתוב מתאר את יוסף שהיה?,לשכב אתה.
בראשית לט ט‏,טריוויה רגילות,אשת פוטיפר בקשה מיוסף ל?,איננו רוצה לבגוד באדונו ולחטוא לה'.
בראשית לט יא‏,טריוויה רגילות,שובתו של יוסף לאשת פוטיפר  הייתה?,לא היה איש מאנשי הבית.
בראשית לט יב‏,טריוויה רגילות,אשת פוטיפר תפסה את יוסף בבגדו כאשר?,עזב את בגדו בידה ונס החוצה.
בראשית לט יד‏,טריוויה רגילות,תגובת יוסף הייתה?,ראו הביא לנו איש עברי לצחק בנו.
בראשית לט כ‏,טריוויה רגילות,אשת פוטיפר קראה לאנשי ביתה ואמרה להם?,"בבית הסוהר אשר אסירי המלך‏
אסורים שם.."
בראשית לט כב‏,טריוויה רגילות,אדוני יוסף האמין לדברי אשתו ושם את יוסף ב?,"שר בית הסוהר נתן את כל האסירים‏
בבית הסוהר בידי יוסף."
בראשית מ ז‏,טריוויה רגילות,השרים הרשומים להלן הם שרי פרעהשנים מהם חטאו לפרעההיוצא מהכלל הוא?,מדוע פניכם רעים היום.
בראשית מ יב‏,טריוויה רגילות,יוסף שאל את שרי פרעה?,שר המשקים.
בראשית מ טז‏,טריוויה רגילות,"הפרטים הרשומים בסוגרים  ,גפן שלשה שריגים, נצה,אשכולותענבים,כוס קשורים?",שר האופים.
בראשית מ ט‏,טריוויה רגילות,"הפרטים הרשומים בסוגריים שלשה סלי חורי,סל העליון,מאכל,עוף קשורים לחלומו של?",שר המשקים.
בראשית מ טו‏,טריוויה רגילות,הראשון שספר ליוסף את חלומו היה?,נגנב מארץ העברים.
בראשית מ כ‏,טריוויה רגילות,יוסף מבקש מהשר שפתר לו את חלומו לטובה שיזכור אותו וינסה להוציאו מבית?,"יום השלישי ,יום הולדת את פרעה.."
בראשית מא א‏,טריוויה רגילות,פרעה נשא את ראש עבדיו  ב?,מקץ שנתיים ימים.
בראשית מא א‏,טריוויה רגילות,פרעה חלם את חלומו?,עומד על היאור..
"בראשית מא ב,ו‏",טריוויה רגילות,בחלומו ראה פרעה שהוא?,יפות תואר ובריאות בשר.
בראשית מא ה‏,טריוויה רגילות,התיאורים הבאים קשורים לחלום פרעההיוצא מהכלל הוא?,בריאות ויפות.
בראשית מא כד‏,טריוויה רגילות,התיאורים הבאים קשורים לחלום פרעההיוצא מהכלל הוא?,חרטומים.
בראשית מא ט‏,טריוויה רגילות,"האנשים הבאים ניסו לפתור את חלום פרעה, אך ללא הצלחההיוצאים מהכלל הם?",שר המשקים.
בראשית מא טז‏,טריוויה רגילות,על יכלתו של יוסף לפתור חלומות מספר לפרעה?,אלקים יענה את שלום פרעה.
"בראשית מא לה,לו‏",טריוויה רגילות,"לדברי פרעה ליוסף שמעתי עליך לאמור ,תשמע חלום לפתור אותועונה יוסף את הדברים?","מנות איש נבון וחכם על מצרים‏
ולהפקיד פקידים על הארץ.."
"בראשית מא לט,‏",טריוויה רגילות,העניינים הבאים קשורים להצעות יוסף לפרעההיוצאים מהכלל הם?,משנה למלך.
"בראשית מא מב, מג‏",טריוויה רגילות,התארים הבאים קשורים לעלייתו של יוסף לגדולההיוצא מהכלל הוא?,"כתר המלך,שרביט המלכות."
בראשית מא מה‏,טריוויה רגילות,הפרטים הבאים נעשו ליוסף ביום עלייתו לגדולההיוצאים מהכלל הם?,צפנת פענח..
בראשית מא מה‏,טריוויה רגילות,פרעה קורא את שם יוסף?,פוטיפרע כהן און.
בראשית מא מו‏,טריוויה רגילות,אסנת אשתו של יוסף הייתה הבת של?,שלשים שנה.
בראשית מא מט‏,טריוויה רגילות,יוסף עמד לפני פרעה בהיותו בן?,כחול הים הרבה מאד..
בראשית מב ג‏,טריוויה רגילות,תיאור כמות מזוןהבר שיוסף אסף הוא?,עשרה.
בראשית מב ו‏,טריוויה רגילות,מספר אחי יוסף שירדו לשבור בר ממצרים היה?,המוכר בכל ארץ מצרים.
בראשית מב ו‏,טריוויה רגילות,התארים הבאים הם תארי יוסף בשנות הרעבהיוצא מהכלל הוא?,השתחוו לו אפים ארצה..
"(בראשית מ""ב, כ""ד)‏",טריוויה רגילות,לכמה ימים הושיב יוסף את אחיו במשמר?,"שחרר את כל האחים חוץ משמעון‏
שאותו אסר עד לבואו של בנימין.."
"(בראשית מ""ב, כ""א)‏",טריוויה רגילות,באיזה אופן יוסף וידא שבנימין אכן יגיע אליו למצרים?,"חרטתם של אחי יוסף על שהרעו לו‏
ומכרו אותו לעבד.."
"(בראשית מ""ב, כ""ג)‏",טריוויה רגילות,חרטתם שלא  הכתוב אשר ראינו צרת נפשו בהתחננו אלינו ולא שמענו נאמר בהקשר ל?,כי המליץ בינותם..
"(בראשית מ""ב, כ""ה)‏",טריוויה רגילות,המשכו הנכון של הכתוב: והם לא ידעו כי שומע יוסף הוא?,לתת מספוא לחמוריהם..
"(בראשית מ""ב, כ""ז)‏",טריוויה רגילות,איזה מ  הציווים הבאים לא אמר יוסף ביחס לאחיו?,במלון..
"(בראשית מ""ב, כ""ח)‏",טריוויה רגילות,היכן גילה אחד מהאחים שכספו הושב לשקו?,פחדו..
"(בראשית מ""ג, י""א)‏",טריוויה רגילות,איך הגיבו האחים כשגילו שכספם ה   ושב להם?,אגוזים ותמרים..
"(בראשית מ""ג, י""ב)‏",טריוויה רגילות,אלו מהמתנות הבאות לא אמר יעקב לבניו להביא ליוסף?,כסף משנה..
"(בראשית מ""ג, ט""ז)‏",טריוויה רגילות,"כסף נוא  בנוסף למנחה הכוללת מאכלים, מה מצווה יעקב את בניו עוד להביא ליוסףסף?",צהרים..
"(בראשית מ""ג, י""ח)‏",טריוויה רגילות,יוסף הזמין את אחיו לביתו לארוחת?,"הביא אותנו כדי להכניסנו למשמר‏
ולהתעלל בנו.."
"(בראשית מ""ג, ל""ב)‏",טריוויה רגילות,איזה מהמשפטים הבאים לא חלף במוחם של האחים כשהובאו לבית יוסף?,כי תועבה היא למצרים..
"(בראשית מ""ג, ל""ד)‏",טריוויה רגילות,ההמשך הנכון של הכתוב כי לא יוכלון המצרים לאכול את העברים לחם הוא?,חמש ידות..
"(בראשית מ""ג, ל""ד)‏",טריוויה רגילות,בכמה הייתה משאת בנימין יותר ממשאת כולם?,שתו והשתכרו איתו.
"(בראשית מ""ד, ב')‏",טריוויה רגילות,בסעודה שערך יוסף לכבוד אחיו הם?,אמתחת הקטן..
"(בראשית מ""ד, ג')‏",טריוויה רגילות,יוסף ציווה את האיש אשר על ביתו לשים את גביע הכסף שלו ב?,הבוקר אור..
"(בראשית מ""ד, ד')‏",טריוויה רגילות,ה   זמן בו שולחו אחי יוסף היה?,הם יצאו את העיר ולא הרחיקו..
"(בראשית מ""ד, י')‏",טריוויה רגילות,יוסף ציוה את האיש אשר על ביתו לרדוף אחרי האנשים לאחר ש?,יהיה לו לעבד והם יהיו נקיים..
"(בראשית מ""ד, ה')‏",טריוויה רגילות,"לדבריו של הממונה על בית יוסף, מה יקרה למי שהגביע ימצא אצלו?",שותה בו ומנחש בו..
"(בראשית מ""ד, י""ב)‏",טריוויה רגילות,הגביע חשוב ליוסף כיון שהוא?,בגדול החל ובקטון כלה..
"(בראשית מ""ה, ג')‏",טריוויה רגילות,סדר החיפוש של הממונה על בית יוסף אצל הא   חים היה?,כי נבהלו מפניו..
"(בראשית מ""ה, ז'-‏
ח')‏",טריוויה רגילות,"הכתוב אומר כי כאשר התוודע יוסף לאחיו לא יכלו אחיו לענות אותו, מה הייתה הסיבה?",ליועץ של ארץ מצרים.
"(בראשית מ""ה, ט'-‏
י')‏",טריוויה רגילות,איזה מבין  המשפטים הבאים לא סיפר יוסף לאחיו בהתוודעו אליהם אודות התפקידים?,ארץ גושן..
"(בראשית מ""ה, י""ט)‏",טריוויה רגילות,יוסף מזמין את אביו לשבת ב?,עגלות..
"(בראשית מ""ה, כ""ב-‏
כ""ג)‏",טריוויה רגילות,"כדי לשאת את טפם ונשיהם, מה נותן יוסף לאחיו על פי פרעה?",עשרה גמלים טעונים כל טוב..
"(בראשית מ""ה, כ""ד)‏",טריוויה רגילות,איזו מהמתנות הבאה לא נתנה עי יוסף לאביו ואחיו?,אל תרגזו בדרך..
"(בראשית מ""ו, א')‏",טריוויה רגילות,מה אומר יוסף לאחיו כאשר הוא נפרד מהם?,באר שבע..
"(בראשית מ""ו, ב')‏",טריוויה רגילות,היכן זובח יעקב זבח לה בדרכו למצרים?,מראות הלילה..
"(בראשית מ""ו, כ""ז)‏",טריוויה רגילות,איך נראה אלוקים ליעקב אחרי שזבח זבח   ים בדרכו למצרים?,שבעים נפש..
"(בראשית מ""ו, כ""ח)‏",טריוויה רגילות,מהו מספרם של כל יוצאי ירך יעקב היורדים מצרימה?,יהודה..
"(בראשית מ""ו, כ""ח)‏",טריוויה רגילות,מי היה הראשון שהתקדם להודיע ליוסף על בוא אביו?,גושן..
"(בראשית מ""ו, ל""ג-‏
ל""ד)‏",טריוויה רגילות,היכ   ן נערכה הפגישה המחודשת בין יוסף לאביו?,אנשי מקנה.
"(בראשית מ""ז, ב')‏",טריוויה רגילות,"אנשיא  כאשר ישאל פרעה את אחי יוסף מה מעשיהם,  בקש מהם יוסף לומר שהם?",חמישה אנשים..
"(בראשית מ""ז, ו')‏",טריוויה רגילות,כמה אחים לקח יוסף בכדי להציג לפני פרעה?,שרי מקנה על אשר לו..
"(בראשית מ""ז, ט')‏",טריוויה רגילות,שרי צבא עלא    פרעה מבקש מיוסף שאם הוא יודע שיש בין אחיו אנשי חיל שישים אותם?,מאה ושלושים שנה..
"(בראשית מ""ז, י""א)‏",טריוויה רגילות,בן כמה היה יעקב בעומדו לפני פרעה?,ארץ רעמסס..
"(בראשית מ""ז, ט""ז-‏
כ')‏",טריוויה רגילות,מהו שמה הנרדף של ארץ גושן?,גמלים..
"(בראשית מ""ז, כ""א)‏",טריוויה רגילות,"סוסים,מקנהא   מה מהדברים הבאים לא הביאו המצרים ליוסף תמורת לחם?",העברת העם לערים..
"(בראשית מ""ז, כ""ב)‏",טריוויה רגילות,הכתוב מקצה גבול מצר   ים ועד קצהו נאמר בהקשר ל?,אדמת הכהנים..
"(בראשית מ""ז, כ""ד)‏",טריוויה רגילות,איזו אדמה היא היחידה שלא נמכרה לפרעה עבור לחם?,לתת לפרעה חמישית מהתבואה..
"(בראשית מ""ז, כ""ח)‏",טריוויה רגילות,"לפי החוק ששם יוסף על מצרים, כמהצריך להפריש מתוצ   ר האדמות?",שבע עשרה שנה..
"(בראשית מ""ז, כ""ח)‏",טריוויה רגילות,כמה שנים חי יעקב במצרים?,מאה ארבעים ושבע שנים..
"(בראשית מ""ח, א')‏",טריוויה רגילות,כמה היו מספר שנות חיי יעקב?,יעקב חולה..
"(בראשית מ""ח, י""ג)‏",טריוויה רגילות,"יוסף לוקח אתו את שני בניו לבקר את אביו, מאיזו סיבה?","את אפרים בימינו משמאל ישראל ואת‏
מנשה בשמאלו מימין ישראל.."
"(בראשית מ""ח, י""ד)‏",טריוויה רגילות,ההמשך הנכון של הכתוב ויקח  יוסף את שניהם  הוא?,"ישראל שם את יד ימינו על ראש אפרים‏
ואת שמאלו על ראש מנשה.."
"(בראשית מ""ט, א')‏",טריוויה רגילות,משמעותו של הכתוב שכל את ידיו היא?,באחרית הימים..
"(בראשית מ""ט, ג')‏",טריוויה רגילות,באחריתא   ההמשך הנכון של הכתוב האספו ואגידה לכם את אשר יקרא אתכם הוא?,אש..
"(בראשית מ""ט, ה'-‏
ז')‏",טריוויה רגילות,מה מהדברים המוזכרים להלן לא נאמר בברכת יעקב לראובן?,זאב.
"(בראשית מ""ט, ח'-‏
י""ב)‏",טריוויה רגילות,הפרטים הבאים לקוחים מברכת יעקב לשמעון ולויהיוצא מהכלל הוא?,יהודה.
"(בראשית מ""ט, יג')‏",טריוויה רגילות,"לביא, גפן,שורקה,י  הפרטים המובאים בסוגריים    לקוחים מברכת יעקב לין,ענבים,חלב?",שפע ימים יינקו.
"(בראשית מ""ט, י""ד-‏
ט""ו)‏",טריוויה רגילות,הפרטים הבאים להלן מובאים בברכת יעקב לזבולוןהיוצא מהכלל הוא?,שפוני טמוני חול.
"(בראשית מ""ט, ט""ז-‏
י""ז)‏",טריוויה רגילות,הפרטים המובאים להלן לקוחים מברכת יעקב ליששכר היוצא מהכלל הוא?,גור אריה.
"(בראשית מ""ט, י""ט)‏",טריוויה רגילות,הפרטים הבאים נאמרו בברכת יעקב לדןהיוצא מהכלל הוא?,גד.
"(בראשית מ""ט,כ')‏",טריוויה רגילות,המלה עקב נאמרה בברכת יעקב ל?,אשר.
"(בראשית מ""ט,כ""א)‏",טריוויה רגילות,מעדני מלך  נאמרו בברכת יעקב ל?,נפתלי.
"(בראשית מ""ט, כ""ב-‏
כ""ו)‏",טריוויה רגילות,אמרי שפר   נאמרו בברכת יעקב ל?,ממגד תבואות שמש.
"(בראשית מ""ט, כ""ז)‏",טריוויה רגילות,הפרטים המובאים להלן נ אמרו בברכת יעקב ליוסףהיוצא מהכלל הוא?,בנימין.
"(בראשית מ""ט, ל""א)‏",טריוויה רגילות,הכתוב בבקר יאכל עד ולערב יחלק שלל נאמר בברכת יעקב ל?,"אברהם ושרה, יצחק ורבקה, יעקב‏
ולאה."
"(בראשית מ""ט, ל""ג)‏",טריוויה רגילות,במערת המכפלה קבורים?,"ויאסוף רגליו אל המיטה ויגוע ויאסף‏
אל עמיו."
"(בראשית נ', ב')‏",טריוויה רגילות,על יעקב נאמר?,לחנוט את אביו.
"(בראשית נ', ג')‏",טריוויה רגילות,יוסף ציווה את עבדיו הרופאים?,ארבעים יום.
"(בראשית נ', ג')‏",טריוויה רגילות,ימי החנוטים נמשכים?,שבעים יום.
"(בראשית נ',ה')‏",טריוויה רגילות,המצרים בכו על יעקב?,השביע אותו לקברו בארץ כנען.
"(בראשית נ', ז'-ט')‏",טריוויה רגילות,יוסף מספר לבית פרעה שאביו?,"כל בית יוסף ואחיו ובית אביו וטפם‏
וצאנם ובקרם."
"(בראשית נ', י'-י""א)‏",טריוויה רגילות,הפרטים המובאים להלן קשורים ל  הלויה של יעקב ממצרים לארץ כנען היוצא מהכלל הוא?,גורן האטד.
"(בראשית נ', ט""ו')‏",טריוויה רגילות,המקום בו עשו ליעקב מספד גדול ואבל שבעת ימים נקרא על שם האבל אבל  מצריםשמו?,"יעניש אותם יוסף על כל הרעה אשר‏
עשו לו.."
"(בראשית נ', כ""ד')‏",טריוויה רגילות,לאחר מות יעקב חששו אחי יוסף שמא?,"פקוד יפקוד אלקים אתכם והעליתם‏
את עצמותי מזה.."
"(בראשית נ', כ""ו)‏",טריוויה רגילות,שבועת יוסף לאחיו לפנ  י מותו הייתה?,מאה ועשר שנים.
"(בראשית כ""ט, ל""ב)‏",התאם את הפסוק לאיש,הפעם י                                            זבלני אישי?,ראובן.
"(בראשית ל',כ')‏",התאם את הפסוק לאיש,לפניך ר  שימת פסוקים הקשורים לאישים שונים בספר בראשיתרשום ליד כל פסוק את?,זבולון.
"(בראשית ה', כ""ט)‏",התאם את הפסוק לאיש,הפעם י                                            זבלני אישי?,נח.
"(בראשית מ""א,נ""ב)‏",התאם את הפסוק לאיש,זה ינחמנו ממעשנו ומעצבון ידנו?,אפרים.
"(בראשית כ""ה,כ""ו)‏",התאם את הפסוק לאיש,כי הפרני אלקים בארץ עניי?,יעקב.
"(בראשית כ""ט, ל""ג)‏",התאם את הפסוק לאיש,וידו אוחזת בעקב עשו?,שמעון.
"(בראשית ל',י""ב)‏",התאם את הפסוק לאיש,שמע ה כי שנואה אנכי?,אשר.
"(בראשית ד' כ""ה)‏",התאם את הפסוק לאיש,באשרי כי אשרוני בנות?,שת.
"(בראשית כ""ט, ל""ד)‏",התאם את הפסוק לאיש,כי שת לי אלקים זרע אחר?,לוי.
"(בראשית ל', כ""ד)‏",התאם את הפסוק לאיש,הפעם ילוה אל                                                  י אישי?,יוסף.
"(בראשית ל""ב, כ""ח)‏",התאם את הפסוק לאיש,יוסף ה לי בן אחר?,ישראל.
"(בראשית כ""ט, ל""ה)‏",התאם את הפסוק לאיש,כי שרית עם אלקים ועם אנשים ותוכל?,יהודה.
"(בראשית ל""ח, כ""ט)‏",התאם את הפסוק לאיש,הפעם אודה את ה?,פרץ.
"(בראשית ל', י""א)‏",התאם את הפסוק לאיש,מה פרצת עליך פרץ?,גד.
"(בראשית ד', א')‏",התאם את הפסוק לאיש,בגד?,קין.
"(בראשית מ""א,נ""א)‏",התאם את הפסוק לאיש,קניתי איש את ה?,מנשה.
"(בראשית מ""ט, י""ט)‏",התאם את הפסוק לאיש,כי נשני  אלקים את כל עמלי?,גד.
"(בראשית ל""ה, י""ח)‏",התאם את הפסוק לאיש,גדוד יגודנו?,בנימין.
"(בראשית מ""ט, י""ד)‏",התאם את הפסוק לאיש,בן אוני?,יששכר.
"(בראשית ל', ו')‏",התאם את הפסוק לאיש,חמור גרם?,דן.
"(בראשית מ""ט, כ""ז)‏",התאם את הפסוק לאיש,דנני אלקים וגם שמע בקולי?,בנימין.
"(בראשית ל', ט""ז)‏",התאם את הפסוק לאיש,זאב יטרף?,ראובן.
"(בראשית מ""ט, כ""א)‏",התאם את הפסוק לאיש,שכור שכרתיך בדודאי בני?,נפתלי.
"(בראשית ל', ח')‏",התאם את הפסוק לאיש,איילה שלוחה?,נפתלי.
"(בראשית מ""ט, כ')‏",התאם את הפסוק לאיש,נפתולי אלקים נפתלתי?,אשר.
"(בראשית מ""ט, ה')‏",התאם את הפסוק לאיש,שמנה לחמו?,שמעון ולוי.
"(בראשית מ""ט, ט')‏",התאם את הפסוק לאיש,כלי חמס מכרותיהם?,יהודה.
"(בראשית מ""ט, י""ז)‏",התאם את הפסוק לאיש,גור אריה?,דן.
"(בראשית מ""ט, ד')‏",התאם את הפסוק לאיש,נחש עלי דרך?,ראובן.
"(בראשית מ""ט, כ""ב)‏",התאם את הפסוק לאיש,פחז כמים?,יוסף.
"בראשית ו',ד'.‏",זהה את האישים,מצא חן בעיני ה?,הנפלים.
"בראשית ד', כב'.‏",זהה את האישים,המה הגבורים אשר                                           מעולם אנשי השם?,קין.
"בראשית ד',כ'.‏",זהה את האישים,לוטש כל חורש נחושת וברזל?,יבל.
"בראשית ד',יד'.‏",זהה את האישים,יושב אוהל ומקנה?,קין.
"בראשית ד',כא'.‏",זהה את האישים,נע ונ                                                                        ד בארץ?,יובל.
"בראשית ו',ט'.‏",זהה את האישים,תופש כל כנור ועוגב?,נח.
"בראשית י""ד',י""ח.‏",זהה את האישים,תמים היה בדורותיו?,מלכי צדק מלך שלם.
"בראשית ט""ז',י""ב'.‏",זהה את האישים,הוציא לחם  ויין?,ישמעאל.
"בראשית י""ח',ח'.‏",זהה את האישים,ידו בכל ויד כל בו?,אברהם.
"בראשית כ""א',י""ט'‏",זהה את האישים,עומד עליהם תחת העץ?,הגר.
"בראשית כ""ד',ט""ו'‏
בראשית כ""ד',מ""ה'.‏",זהה את האישים,פקח אלקים את עיניה?,רבקה.
"בראשית כ""ד',ל""א'‏",זהה את האישים,כדה על שכמה?,לבן.
"בראשית כ""ה',כ""ה'.‏",זהה את האישים,בא ברוך ה?,עשו.
"בראשית ל""ד',י""ט'‏",זהה את האישים,כלו כאדרת שער?,שכם בן חמור.
"בראשית ל""ז',י""ט'.‏",זהה את האישים,נכבד מכל בית אביו?,יוסף.
